Open,High,Low,Close,Volume
46160.72,46178.5,46117.4,46178.49,27.37343
46178.5,46188.42,46104.17,46145,26.70321
46145,46157.27,46113.35,46157.25,23.24444
46157.25,46209.27,46126.37,46175.01,50.63074
46175.01,46200.75,46172.88,46200.01,24.25876
46200,46200.01,46151.84,46188.94,17.18256
46188.94,46188.94,46001,46015.38,74.80755
46015.38,46084.43,46008.6,46026.66,68.39431
46026.66,46081.04,46003.14,46069.88,37.86297
46069.88,46069.88,45939.99,46029.59,66.16015
46029.59,46043.53,45960.13,45964.06,32.21668
45964.07,45981.2,45901,45956.2,86.09844
45956.2,45956.2,45815.64,45891.46,146.53324
45891.46,45960.04,45850.69,45952.06,59.71353
45952.07,45952.07,45900.62,45900.62,37.33679
45900.62,45900.63,45768,45831.42,176.08165
45831.42,45892.57,45771.11,45883.76,68.57676
45883.77,45893.64,45821.26,45871.3,70.95382
45871.31,45876.16,45790,45795.64,31.814
45795.65,45820,45732.79,45766.46,68.05892
45766.47,45767.3,45700,45728,66.02749
45728.01,45753.9,45678.96,45728.28,127.66906
45728.28,45914.27,45678,45824.86,136.71528
45824.86,45990,45824.28,45961.14,97.82939
45961.13,45961.14,45878.37,45946.84,60.72607
45946.83,45986.78,45941.9,45986.1,44.16553
45986.13,46042.62,45960,46036.78,92.93728
46036.79,46122.43,46020,46122.43,65.52898
46122.42,46200,46090.9,46200,78.24316
46200,46211.07,46111.79,46173.56,63.90794
46171,46208.99,46150.02,46183.23,39.29941
46183.24,46184.24,46076.34,46078.83,30.65239
46078.84,46159.09,46074.64,46138.06,32.54794
46138.06,46145.82,46105.36,46129.87,27.10598
46129.86,46158.73,46104.01,46118.31,27.70067
46118.31,46134.43,46105.35,46128.21,30.66853
46128.15,46157.66,46120.01,46130.38,18.22567
46130.38,46152.63,46020.98,46031.26,38.46752
46031.26,46037.73,45885.17,45949.02,63.52157
45949.01,45961.99,45866.05,45866.06,41.18516
45866.05,45970.85,45831.51,45930.71,55.62588
45930.71,45972.52,45881.41,45970.68,36.55067
45970.68,45970.68,45922.54,45932.35,17.22183
45932.35,45938.37,45869.57,45890.15,34.06373
45890.14,45944.54,45886.3,45920.01,29.31749
45920.01,45940.82,45876.4,45894.92,21.92763
45894.93,45960.07,45879.01,45952.25,26.09076
45952.24,45952.24,45887.07,45913.72,21.05303
45913.72,46048.88,45913.72,46034.99,27.82948
46036.36,46049.98,46002.97,46048.94,16.89603
46048.94,46104.26,46048.93,46092.96,30.99805
46092.95,46092.96,46039.73,46044.08,22.14931
46044.08,46123.12,46044.08,46118.86,44.09639
46118.86,46122.56,46090.8,46090.81,19.97724
46090.81,46108.21,46087.01,46091.11,10.92419
46091.12,46091.29,46023,46036.87,22.31149
46036.87,46059.13,46001.51,46028.61,18.00822
46028.6,46033.23,45974.42,45975.87,34.89043
45975.87,45975.88,45914.05,45917.66,10.67551
45917.65,46021.58,45913.7,46021.58,20.60227
46021.58,46021.58,45964.74,45968.31,11.10282
45964.74,45971.09,45935.7,45941.12,14.6355
45941.12,45990.53,45923.06,45986.18,11.62081
45986.18,45987.75,45920,45920.01,11.894
45920.01,45920.01,45884.44,45897.55,10.28484
45897.55,45972.07,45884.32,45950.69,13.7564
45950.69,46002.46,45944.3,45976.86,18.66048
45976.85,45976.86,45895.16,45896.02,10.61497
45896.02,45965.68,45880,45949.99,12.6506
45950,45958.75,45905.42,45909.46,4.72858
45907,45939.97,45906.13,45933.21,7.03199
45933.21,45984.77,45916.36,45961.64,6.31446
45961.64,45963.71,45845.11,45868.7,23.97187
45868.69,45898,45849.48,45874.79,21.53382
45874.79,45940.97,45874.68,45920.16,18.10445
45920.16,45955,45888.24,45951.25,6.93761
45951.25,45951.25,45900.04,45925.15,6.21343
45923.77,45927.42,45893,45893.49,11.69831
45893.49,45947.28,45886.11,45947.28,16.37077
45947.27,45950.36,45907.62,45938.29,15.09504
45938.28,45940.38,45816.46,45873.33,42.00456
45873.33,45900.39,45831.93,45879.24,25.54861
45886.66,45956.59,45879.24,45899.84,37.10341
45899.85,45927.22,45865.82,45918.32,28.80124
45918.32,45990.58,45918.32,45980.57,19.0952
45980.58,46071.95,45980.57,46044.07,40.51446
46044.07,46084.58,46033.13,46079.1,17.60707
46079.1,46101,46000.68,46000.69,23.72794
46000.69,46003.31,45906.46,45917.76,32.62138
45916.06,45932.15,45888.89,45899.09,14.18907
45899.09,45906.64,45803.49,45850.51,50.2396
45854.34,45908.9,45840.91,45898,37.49684
45898,45903.52,45800,45849.97,34.69903
45849.98,45860.73,45836.59,45849.74,15.47334
45849.73,45849.74,45800,45827.3,32.96065
45827.3,45867.65,45813.59,45853.81,33.38157
45853.81,45853.81,45766.85,45836.3,46.09308
45836.3,45848.79,45794.18,45832.44,19.23707
45832.44,45877.97,45820.85,45860.42,23.02888
45860.43,45896.8,45858.33,45882.21,18.64217
45882.2,45896.73,45875.4,45891,13.2887
45891,45910.75,45875.58,45899.27,22.03107
45899.28,45933.9,45889.96,45898.08,25.74411
45898.07,45979.06,45896.45,45967.45,41.91334
45967.45,45967.45,45900.03,45949.98,47.20292
45949.98,45970,45934.9,45958.83,16.94939
45958.83,46040.49,45958.83,46002.74,30.88409
46002.74,46031.92,46000.05,46030.36,18.41444
46030.36,46030.38,46004.94,46011.84,23.54279
46008.59,46066.04,46002,46057.34,66.77825
46058.88,46082.71,46050.01,46076.93,37.14651
46076.92,46099.01,46070.03,46099,21.21606
46099.01,46158.94,46099,46158.94,37.36355
46158.94,46229.65,46129.8,46228.63,50.0416
46228.63,46229.39,46139.63,46157.07,53.32333
46157.07,46260,46157.06,46209.42,51.91898
46209.42,46272.42,46206.56,46256.21,35.22908
46256.2,46320.1,46239.92,46295.53,41.7357
46295.52,46410.79,46266.49,46369.8,44.3376
46369.79,46513.67,46362.64,46505.15,127.20554
46504.32,46505.15,46400.53,46401.25,45.2175
46401.24,46421.55,46315.46,46341.66,31.08864
46341.66,46347.8,46267.37,46269.15,18.62557
46269.14,46284.88,46226.95,46226.96,23.15806
46226.95,46304.24,46226.95,46275.56,28.49299
46275.56,46296.62,46275.55,46292.01,10.14421
46296.62,46298.04,46202.21,46242.76,28.43301
46242.76,46242.76,46167.01,46187.6,23.4456
46185.03,46202.28,46170.7,46193.16,14.07343
46193.16,46262.98,46189.57,46245.93,20.15026
46245.92,46281.68,46245.92,46266.48,13.4196
46266.48,46285.12,46221.21,46226.38,34.35229
46226.37,46237.59,46190.38,46226.45,20.64204
46226.45,46239.63,46206.31,46230.32,7.71479
46230.32,46257.16,46216.52,46217.01,11.64069
46217.02,46221.57,46200.98,46202.65,9.432
46202.65,46287.19,46200.99,46285.33,15.27
46285.32,46295.62,46263.09,46272,11.73487
46272.01,46275.65,46232.08,46247.93,8.61338
46247.14,46324.92,46247.14,46314.67,7.2443
46314.67,46344.9,46305,46328,11.05623
46327.99,46348.53,46321.32,46333.86,9.56734
46333.87,46368.67,46295.17,46364.2,18.13504
46364.2,46373.62,46339.69,46339.69,10.3795
46339.69,46364.56,46335.13,46352.85,10.1027
46352.84,46416.11,46347.52,46409.84,11.00676
46409.47,46443.4,46404.92,46442.29,12.35493
46442.28,46482,46434.46,46434.47,19.15681
46434.46,46434.47,46391.38,46395.2,12.96115
46395,46397.81,46379.77,46380.9,7.91523
46380.89,46434.45,46374.28,46426.76,15.07308
46426.76,46450,46401.58,46448,8.73262
46448,46463.02,46433.26,46457.47,14.92627
46454.1,46499.35,46454.1,46482.87,13.58032
46482.87,46562.53,46470.34,46553.08,19.32648
46553.08,46561.14,46444.45,46462.21,23.05604
46462.21,46477.18,46420.2,46434.81,30.67785
46434.81,46527.48,46422.55,46516.48,16.51212
46516.48,46569.97,46501.55,46523.6,23.26448
46523.6,46550,46450,46455.38,17.20622
46455.88,46461.03,46425.16,46450.52,12.88179
46450.51,46467.77,46395.19,46405.16,17.61279
46405.16,46465.95,46402,46437.44,8.4748
46437.44,46459.59,46404.15,46406.51,12.49769
46406.51,46416.68,46392.83,46400,10.71118
46399.69,46467.46,46399.69,46467.46,5.60227
46467.45,46467.71,46423.05,46439.55,6.02132
46439.56,46449.98,46421.45,46447.09,13.36592
46447.09,46450.01,46423.29,46430.88,5.48028
46430.88,46436.93,46430.74,46434.5,3.99011
46434.49,46438.71,46370,46411.98,46.6606
46411.99,46411.99,46392.55,46396.88,7.86015
46396.86,46399.99,46377.04,46381.86,24.38178
46381.86,46387.91,46347,46356.43,26.13463
46356.43,46362.17,46334.62,46346.15,24.36301
46347.85,46354.82,46334.82,46348.53,13.66517
46350.71,46355.77,46325.87,46332.92,12.22673
46332.92,46345.49,46318.43,46344.67,18.0758
